hHostNameFinal,hOrder,hFamily,hGenus,hSpecies,hMarOTerr,hWildDomFAO,hAllZACites,hDiseaseZACites,hHuntedIUCN,hArtfclHbttUsrIUCN,IUCN_Species_ID,Authority,Synonyms,Common_names_Eng,Common_names_Fre,Common.names_Spa,RedList_status,RedList_criteria,RedList_criteria_version,Year_assessed,Population_trend,,,,,,,,,,,,,,
Arvicola_scherman,RODENTIA,CRICETIDAE,Arvicola,scherman,Terrestrial,wild,92,12,0,1,136766,"(Shaw, 1801)",NA,NA,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Atelerix_albiventris,EULIPOTYPHLA,ERINACEIDAE,Atelerix,albiventris,Terrestrial,wild,65,45,0,1,40602,"(Wagner, 1841)",NA,Four-toed Hedgehog,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Ateles_geoffroyi,PRIMATES,ATELIDAE,Ateles,geoffroyi,Terrestrial,wild,358,37,1,0,2279,"Kuhl, 1820",Ateles fusciceps,"Black-handed Spider Monkey, Central American Spider Monkey, Geoffroy's Spider Monkey, Geoffroys Spider Monkey, Mono Colorado",Atèle De Geoffroy,"Mico, Mono Ara_a",EN,A2c,3.1,2008,decreasing,,,,,,,,,,,,,,
Ateles_paniscus,PRIMATES,ATELIDAE,Ateles,paniscus,Terrestrial,wild,132,23,1,0,2283,"(Linnaeus, 1758)",NA,"Black Spider Monkey, Guiana Spider Monkey, Red-faced Black Spider Monkey",Atèle Noir,"Macaco Aranha, Mono Ara_a, Mono Ara_a Negro",VU,A2cd,3.1,2008,decreasing,,,,,,,,,,,,,,
Atilax_paludinosus,CARNIVORA,HERPESTIDAE,Atilax,paludinosus,Terrestrial,wild,59,6,0,0,41590,"(G.[Baron] Cuvier, 1829)",NA,"Marsh Mongoose, Water Mongoose",NA,NA,LC,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Axis_axis,CETARTIODACTYLA,CERVIDAE,Axis,axis,Terrestrial,domestic,353,99,1,1,41783,"(Erxleben, 1777)",NA,"Axis Deer, Chital, Indian Spotted Deer",Cerf Axis,NA,LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
Baiomys_taylori,RODENTIA,CRICETIDAE,Baiomys,taylori,Terrestrial,wild,94,8,0,1,2466,"(Thomas, 1887)",NA,Northern Pygmy Mouse,NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Balaenoptera_acutorostrata,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,acutorostrata,Marine,wild,902,42,1,0,2474,"Lac_pède, 1804",NA,"Common Minke Whale, Dwarf Minke Whale, Lesser Rorqual, Little Piked Whale, Minke Whale","Baleinoptère è Museau Pointu, Petit Rorqual","Ballena Minke, Ballena Minke, Rorcual Menor, Rorcual Menor",LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Balaenoptera_borealis,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,borealis,Marine,wild,5068,574,0,0,2475,"Lesson, 1828",NA,"Coalfish Whale, Pollack Whale, Rudophi's Rorqual, Sei Whale","Baleinoptère De Rudolphi, Rorqual Bor_al, Rorqual De Rudolphi, Rorqual Sei","Ballena Boba, Ballena Boba, Ballena Sei, Ballena Sei, Rorcual Boreal, Rorcual Boreal, Rorcual De Rudolphi, Rorcual De Rudolphi, Rorcual Norteno, Rorcual Norteno",EN,A1ad,3.1,2008,unknown,,,,,,,,,,,,,,
Balaenoptera_physalus,CETARTIODACTYLA,BALAENOPTERIDAE,Balaenoptera,physalus,Marine,wild,4,1,0,0,2478,"(Linnaeus, 1758)",NA,"Common Rorqual, Finback, Fin-backed Whale, Finner, Fin Whale, Herring Whale, Razorback","Baleine è Nageoires, Baleine Fin, Baleinoptère Commune, rorqual commun, Rorqual Commun","Ballena Aleta, Ballena Aleta, Ballena Boba, Ballena Boba, Rorcual Com_n, Rorcual Com_n",EN,A1d,3.1,2008,unknown,,,,,,,,,,,,,,
Bandicota_bengalensis,RODENTIA,MURIDAE,Bandicota,bengalensis,Terrestrial,wild,356,65,0,1,2540,"(Gray, 1835)",NA,"Indian Mole-rat, Lesser Bandicoot Rat, Sind Rice Rat",NA,NA,LC,NA,3.1,2008,increasing,,,,,,,,,,,,,,
Bandicota_indica,RODENTIA,MURIDAE,Bandicota,indica,Terrestrial,wild,206,82,0,1,2541,"(Bechstein, 1800)",NA,Greater Bandicoot Rat,NA,NA,LC,NA,3.1,2008,increasing,,,,,,,,,,,,,,
Bandicota_savilei,RODENTIA,MURIDAE,Bandicota,savilei,Terrestrial,wild,21,12,0,1,2542,"Thomas, 1916",NA,"Savile's Bandicoot Rat, Saviles Bandicoot Rat",NA,NA,LC,NA,3.1,2008,stable,,,,,,,,,,,,,,
Barbastella_barbastellus,CHIROPTERA,VESPERTILIONIDAE,Barbastella,barbastellus,Terrestrial,wild,332,26,1,0,2553,"(Schreber, 1774)",NA,"Barbastelle, Western Barbastelle","Barbastelle Commune, Barbastelle D'Europe",Barbastela,NT,NA,3.1,2008,decreasing,,,,,,,,,,,,,,
Bassaricyon_gabbii,CARNIVORA,PROCYONIDAE,Bassaricyon,gabbii,Terrestrial,wild,10,3,0,0,2609,"J.A. Allen, 1876",NA,"Bushy-tailed Olingo, Olingo",Cataquil,"Chosna Pericote, Cuataquil, Cuchumbi, Lingo, Martilla, Olingo De Occidente",LC,NA,3.1,2008,unknown,,,,,,,,,,,,,,
